Id,Class,Text
166,Content Question,$Do you think that she kills him or saves him?$
167,Content Question,$What would you do in her place?$
168,Content Discussion,$I kind of think that even though she is angry and jealous, she would ultimately save him. $
169,Content Discussion,$I think that overall the weight of her conscious would have kept her from sending him to his death for falling in love with her.$
170,Content Discussion,$After all, it is a two way road and she is being punished right along with him for getting caught by the king as well.$
171,Content Discussion,$ I also think that even if the king finds out that she knew the doors he will know that either choice that she makes is a punishment in its own right. She suffers either way $
172,Incomplete/Typo,$w$
173,Content Discussion,$And what if the king already knew that she had broken the law. $
174,Content Discussion,$Perhaps he planned it so that she would be the one to make the decision in the end as no one has ever known what's behind the doors before$
175,Content Discussion,$Maybe this was her punishment.$
176,Content Discussion,$Knowing she could save him from death, but still lose him in the end.$
177,Content Discussion,$It would be just a thing that this King would do I think.$
178,Feedback,$Kyra, those are some good thoughts! $
179,Content Discussion,$I'm kind of on the fence about whether she saves him or not.$
180,Content Discussion,$ I think that she may dislike the idea that he marries another more than him dying.$
181,Content Discussion,$So I'm leaning more toward she sends him to the tiger's door.$
182,Content Discussion,$But I do also think that it is possible that the King could be in on it too. $
183,Content Discussion,$He could know that she knows which door is which and he seems like the type of king to enjoy that punishment$
184,Response,$Emilie I can see that. $
185,Content Question,$What would you do in her place?$
186,Content Question,$Not what do you think she would do, but what would you do if you were in the situation? $
187,Content Discussion,$I know I wouldn't be able to live with myself if I knew I was the reason the person I loved was killed in such a painful manner$
188,Content Discussion,$ It would hurt worse to know his death was my fault than to know that he was happy with someone else. $
189,Content Discussion,$I think I'd find it easier to move on and live if he was still alive.$
190,Content Discussion,$I mean there are other guys out there after all.$
191,Response,$I agree.$
192,Content Discussion,$ Personally, I would save him. $
193,Content Discussion,$I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. $
194,Content Discussion,$I would feel guilty for the rest of my life.$
195,Response,$And that's true! $
196,Content Discussion,$There are other guys out there so even if he was the most handsome and all that,$
197,Content Discussion,$I'm sure I would eventually get over him being with someone else$
198,Content Discussion,$I think if I misled him to choose the tiger's door, I would feel like I committed a murder myself$
199,Response,$I agree with that so much! $
200,Content Discussion,$But I'm not sure how this princess would think.$
201,Instuction Question,$Do we know how many people are part of this group? $
202,Logistics,$We can try to get in touch with them and decide how we wat to write out the answer$
203,Response,$I'm not sure! $
204,Response,$I tried looking for a "particpants" button or something and I couldn't find one.$
205,Response,$I couldn't either.$
206,Logistics,$I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too$
207,General Comment,$You're here for LIS6303 or for another class?$
208,Response,$I'm also in LIS6303!$
209,Response,$okay awesome! $
210,Logistics,$I'm going to create a discussion called Book Club 4 and see if we can see if there is anyone else who is part of that group.$
211,Response,$Good idea!$
212,Content Question,$So how do you guys think we should end it?$
213,Response,$I'm honestly okay with either ending, $
214,Content Discussion,$but I think we should incorporate the King mentioning that he helped feed his daughter the information on what was behind each door. $
215,General Comment,$That's just my opinion though.$
216,Logistics,$Also, I got an email letting us know that Elias Royal is also a part of our group. $
217,Content Discussion,$I want to wait to see what they think about how the ending should go as well.$
218,Content Discussion,$How do you think it should end, Emilie?$
219,Logistics,$Of course, we should all definitely have a chance to contribute.$
220,Content Discussion,$I'm also okay with either ending for Part 1 as well. $
221,Content Discussion,$My initial thoughts were that the princess knows what's behind each of the doors because the King had told her or she figured it out from overhearing him talk about the punishment.$
222,Content Discussion,$I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman.$
223,Feedback,$I liked what you mentioned earlier Kyra$
224,Content Discussion,$about how she may have felt guilty.$
225,Content Discussion,$As for Part 2, I have a theory. $
226,Content Discussion,$I think that when the King discovers his daughter broke the law, he would still make her go through the arena.$
227,Content Discussion,$BUT, he'd tell her which door leads to a man and which leads to the tiger, thinking that she will obviously choose to marry and live.$
228,Content Discussion,$HOWEVER, she is so distraught about losing the love of her life that she actually chooses the tiger's door on purpose.$
229,Content Discussion,$This could either cause the King to become even more barbaric or to stop these trials all together$
230,General Comment,$But that's just what I was thinking.$
231,General Comment,$ I'm definitely okay with another approach that we can all agree on$
232,Feedback,$Oooo I like that idea of how he might send her to the arena and then tell her which is behind each door. $
233,Content Discussion,$This gives her a chance at potential happiness or, if she is feeling miserable and depressed, may want to go through with the tiger!$
234,Content Discussion,$That's certainly an interesting way to look at the potential of that kind of ending.$
235,Logistics,$And I almost think if we can't decide we might just flip a coin $
236,Emoticon/Non-verbal,$lol $
237,General Comment,$(I've been playing dnd too much and it has influenced my writing)$
238,Logistics,$Or we could take turns writing out a paragraph and jump one it from the last person's response.$
239,Feedback,$Flipping a coin may not be the worst idea, honestly! $
240,Logistics,$I like the idea of writing a paragraph or a few sentences and then bouncing off from there. $
241,General Comment,$That's fun$
242,Response,$Glad you like that idea $
243,Emoticon/Non-verbal,$:D$
244,Response,$I think it would be fun too!$
245,General Comment,$Oooo I have another idea! What if the princess sends the man to the tiger and right out tells her father she did it and wants a trial. Then because he loves her he begs her to choose the door with the young man he picks for her, but she chooses the tiger.$
246,Feedback,$That's a creative idea!$
247,Feedback,$ I like it$
248,Feedback,$Kyra, I LOVE what you did for part 1!! $
249,Feedback,$That's some amazing writing! $
250,General Comment,$Let's hope I do as well on part 2!!$
251,Response,$Awww thank you so much!$
252,Feedback,$Ahhh I love your response too!$
253,Assignment Question,$Finished! How does that sound?$
254,Feedback,$it's wonderful!$
255,Instruction Question,$Any idea on how to submit it?$
256,Assignment Instructions,$I think we just leave it here? I'm not totally sure$
257,Assignment Instructions,$Yeah I was wondering because when I click 'My Answer' at the top it says I haven't submitted one. $
258,Response,$So I don't know. $
259,Response,$Maybe sometime next week there will be a button to push.$
260,Response,$Maybe! $
261,Response,$Or when the survey comes out maybe something will be there$
262,Response,$Yeah that makes sense.$
263,Opening statement,$darla$
264,Content Discussion,$Part 1: Ultimately, it is left for the reader to decide what is behind the door,$
265,Content Discussion,$and it would depend what they feel the princess cares about more - his life or him being married to another woman.$
266,Content Discussion,$He sentences her to the same trial.$
267,Content Discussion,$Part 1: It is such an agonizing question of whether the lady or the tiger is behind the door. $
268,Content Discussion,$ The abyss of pain and betrayal of an unfaithful lover and seeing them with someone else is palpable and I could imagine that in the throngs of that deep pain one might wish their unfaithful lover to be dead.$
269,General Comment,$I would hope though$
270,Content Discussion,$that the lady is behind the door; that the princess might be able to also feel that to take another human life, even when that life has so greatly wronged you, is far worse than to $
271,Incomplete/Typo,$experien$
272,Feedback,$^Gina, that is a really interesting point that you make, $
273,Content Discussion,$that he sentences the princess to the same trial that he is on. $
274,Content Discussion,$The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, $
275,Content Discussion,$but at the same time, as you stated, the princess is herself in a greater trial than the man in that she has to decide whether to kill or not kill her lover who has hurt so deeply.$
276,Feedback,$That's a really insightful point, Gina!$
277,General Comment,$I hadn't thought of when I read the piece$
278,Greeting,$Hi John, $
279,Content Discussion,$I feel that it would be fitting for the king to sentence her to the same trial, because they king and princess are both constantly described as semi-barbaric" throughout the text.$
280,Content Discussion,$There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him."$
281,Logistics ,$I have added to the story$
282,Content Discussion,$After another hour of wandering the uninteresting minimalist room, $
283,Content Discussion,$he decided to try the door again, still with no luck.$
284,Content Discussion,$He continued to place his fingers in the depressions of the heavy stainless door and pull, pull, pull. $
285,Content Discussion,$The door did not budge an inch.$
286,Content Discussion,$ Finally, after another hour and more pulling at the door, he frustratedly kicked at the door.$
287,Content Discussion,$It swung open easily. $
288,Content Discussion,$An instance of dealing with nonintuitive design! $
289,Content Discussion,$The handle design said, pull me  but the door required that you push it to open it from$
290,Incomplete/typo,$t$
291,Logistics ,$submitted$
292,Content Discussion,$I believe the occupant needs to look closer and not write off the minimalistic aesthetic as having no features. $
293,Content Discussion,$The features are in the details of what surrounds him/her/them and will assist in their escape.$
294,Greeting,$Good morning.$
295,Opening Statement,$I am logged into the book/chat.$
296,Content Discussion,$This was a very interesting article.$
297,Assignment Instructions,$I think we are supposed to chat in the top…$
298,Assignment Instructions,$...and then collaborative write our response below.$
299,Greeting,$Good morning!$
300,Content Discussion,$It was super interesting!$
301,Opening Statement,$Going to jot down some thoughts on this messenger$
302,Response,$Okay, me too …$
303,Assignment Instructions,$... and then I think we can compose our answer below.$
304,Content Discussion,$ I think the article content relates to the design perspective...$
305,Content Discussion,$because in a way, the previous design models helped to feed the cause of the COVID pandemic.$
306,Content Discussion,$…because I think the article content relates to the design perspective$
307,Content Discussion,$ As the article stated ...$
308,Content Discussion,$... city designs where people are stacked on top of each other in small, expensive housing is not sustainable and contributed to the spread of the disease.$
309,Content Discussion,$...  expensive housing is not sustainable ...$
310,Content Discussion,$...  and contributed to the spread of the disease.$
311,Content Discussion,$1.) The article discusses the way in which design always looks forward.$
312,Content Discussion,$. The problem is that designers tend to design towards a future that is better where we have the same resources and less/similar problems. $
313,Content Discussion,$ As we're faced with climate change and catastrophes causes by this kind of design, designers have to start designing towards a future bent on sustainability.$
314,Content Discussion,$2.) We should consider prototypes that will create a sustainable future in measurable steps that won't leave people in urban areas or people in poverty behind.$
315,Logistics,$Is it okay if I start combining our answers below$
316,Greeting,$Good morning.$
317,Response,$I think you are correct about where the article stated city designs are where people are stacked on top of each other.$
318,Greeting,$Good morning, Teresa. $
319,Logistics,$We started putting our thoughts in the top screen ...$
320,Logistics,$... and I think Maria is adding them to the discussion below.$
321,Greeting,$Good morning, Teresa!$
322,Logistics,$Yes, I've started putting our thoughts together below$
323,Logistics,$Feel free to add your ideas here or below, whichever is easier$
324,Content Discussion,$It is also somewhat of a catch-22 because the more we try to socially distance, the more space we will need. $
325,Content Discussion,$ If humans continue to spread, then nature will suffer.$
326,Content Discussion,$Design for the future must take into consideration many factors that they may not have previously.$
327,Response,$Awesome.$
328,Content Question,$Do we want to mention how they are looking at the people who live in the Amazon jungle and looking at how they use their resources?$
329,Response,$That's true--$
330,Content Discussion,$...like I think cities are designed to account for overpopulation, but designed aimed towards overpopulation ended up causing other problems$
331,Response,$Sure!$
332,General Comment,$It's kind of weird how the text changes below as I am reading it.$
333,Emoticon/Non-verbal,$LOL.$
334,Response,$Thank you, Maria, for putting our ideas together ...$
335,Response,$...and making them sound like one cohesive statement.$
336,Feedback,$You are doing a great job.$
337,Emoticon/Non-verbal,$lol, ...$
338,Response,$... no problem!$
339,General Comment,$Playing Frankenstein with our ideas$
340,Content Question,$Can you refresh me on what people in the Amazon are doing?$
341,Content Discussion,$She studies bridges made from living roots in Meghalaya, India, and advanced canal farming around Lake Titicaca in Peru by the Incan peoples. $
342,Content Discussion,$Where “Designs for Different Futures” feels high-tech in its imagination — envisioning, for example, that humans might perhaps one day be cloned from DNA extracted from gum left under park benches —$
343,Content Discussion,$ — Lo-TEK imagines that the knowledge of how to survive the future is already embedded in low-energy, often ancient practices.$
344,Content Discussion,$That was from the urban designer and activist Julia Watson seeks answers from Indigenous peoples around the world, because of their long practice in handling climatological disasters and other unforeseen events.$
345,Content Discussion,$Yes, the future of design might be to look towards the low-energy methods of the past.$
346,Content Question,$ A question this article brought up for me was is technology helping us or harming us?$
347,Content Discussion,$The past or the low-tech cultures she is studying.$
348,Content Discussion,$From the 2019 book “Lo-TEK” (a response to the old architectural and design movement called high-tech, whose most famous example is the 1977 Centre Pompidou in Paris, by Renzo Piano and Richard Rogers, with its facade of exposed metal innards),$
349,External Material,$This isn't directly in the article, ...$
350,External Material,$...but Teresa made me also think that one way to invest in our future is to recruit, support, and mentor designers from marginalized communities with perspectives most mainstream designers don't have. $
351,Assignment Question,$Do y'all mind if I add that?$
352,Feedback,$I like that, Jessica$
353,Response,$Awesome.$
354,Content Discussion,$I think we could add a section on how design towards the future might actually look at ways to use less technology$
355,Response,$Sure!$
356,General Comment,$I think we're looking good$
357,Assignment Question,$Anything else yall want to discuss$
358,Assignment Question,$/add$
359,Feedback,$I think it looks good! $
360,Assignment Instructions,$If we are done, I think we just type SUBMITTED" at the top as the title."$
361,Assignment Question,$Teresa, do we have your approval?$
362,Feedback,$I think there is a lot of detail ...$
363,Feedback,$... and it looks great.$
364,Response,$Awesome, good work, team!$
365,Discussion Wrap-up,$It was great to work with the both of you.$
366,Discussion Wrap-up,$Yes, thank you both!$
367,General Comment,$I think this was a pretty cool little assignment. :)$
368,Response,$Me too :)$
369,Discussion Wrap-up,$Have a good afternoon.$
370,Discussion Wrap-up,$Good luck with the rest of the class. :)$
371,Discussion Wrap-up,$Thank you, you too!$
372,Discussion Wrap-up,$Thank you! You too <3$
373,Content Discussion,$1. The article relates to the design perspective because design is always needing to evolve with the world around us.$
374,Content Discussion,$ As the pandemic has changed so many aspects of life, design perspective must change along with it.$
375,Content Discussion,$2. Prototypes for the future need to involve both sustainable energies ...$
376,Content Discussion,$...and potentially designs that may reverse the current damages we are doing.$
377,Content Discussion,$With the way things are going, the environment must be a huge factor in considering design for a resilient future.$
378,Assignment Instructions,$I think potentially the question is supposed to read How does the article content relate to the design perspective?$
379,Content Discussion,$The article discusses how design has influenced the way we live, ...$
380,Content Discussion,$...but also how the world events have also changed and influenced design as well.$
381,Content Discussion,$ Covid-19 is used as example to illustrate how designers must adapt and rework traditional ideas to meet the current needs of a population.$
382,Content Discussion,$The design perspective is looking at a situation with an artful and detailed eye, ultimately coming up with a design that will be aesthetically pleasing and as ergonomic as possible.$
383,Content Discussion,$Renewable sources of energy, more efficient recycling programs, less dependence on oil, plastic, and single-use items, and a global mental adjustment of the meaning of success.$
384,Content Discussion,$ Corporations must be held responsible for the byproducts or waste that they create as a result of production, pre and post production.$
385,Content Discussion,$They need to produce less to start,...$
386,Content Discussion,$ but also should should be forced to safety handle their waste, which also means accepting their packaging back that they recycle at their own cost.$
387,Content Discussion,$ We should demand that designers create for a less materialistic world.$
388,Content Discussion,$Less is more should be the new motto moving forward.$
389,Content Discussion,$The article content relates to the design perspective because it talks about design.$
390,Content Discussion,$Prototypes that should be considered for a resilient future include cars that run on electricity, plexiglass panes to keep people safe in a covid world.$
391,Content Discussion,$For Part I, the article relates to the design perspective as it illustrates the diverse meanings of design ...$
392,Content Discussion,$... and the how various fields utilize it.$
393,Content Discussion,$ For Part II, with COVD19 still being problematic, there will be more developments in designs that allow people to be distanced but still together.$
394,Content Discussion,$For Part 1, the article discusses the problems that can arise when trying to define design ...$
395,Content Discussion,$... and how people must adapt to the changing world.$
396,Content Discussion,$ Part two- Discussion of climate change and COVID-19 working to find a way for people to physically distance but have social interaction.$
397,Logistics,$Matthew said he would be able to get on later tonight.$
398,Logistics,$ I am planning on checking in later to see what he adds ...$
399,Logistics,$... and then if we are good with everything before submitting the assignment.$
400,Response,$Ok.$
401,Response,$Ok.$
402,Opening Statement,$Right, sorry about the delay, ...$
403,Opening Statement,$... today was a frenetic affair.$
404,Opening Statement,$Thank you for your patience, ...$
405,General Comment,$, and I hope what I've added acts to contribute to the discussion.$
406,Assignment Question,$Any comments, concerns, criticism?$
407,Content Discussion,$The design perspective is a coherent set of values and aspects emphasized by the designer in a given design situation. $
408,Content Discussion,$This article's content discusses the design perspective of individuals tasked to think about design in a future which is unknown and unpredictable$
409,Content Discussion,$Prototypes that should be considered for a resilient future should include buildings which are environmentally sound $
410,Content Discussion,$as well as structurally strong enough to deal with the effects of climate changes$
411,Content Discussion,$ We are experiencing more extreme weather. $
412,Incomplete/typo,$Ou$
413,Content Discussion,$Design Perspective is a unique mindset which encompasses the influence of past design and of future.  $
414,Content Discussion,$The article emphasizes that the design perspective will be needed for us to sustain as a population. $
415,Content Discussion,$Prototypes for a resilient future would include farming that doesn't need fertilizer,$
416,Content Discussion,$housing developments that are self-sustaining using recycled materials, $
417,Content Discussion,$and other items that would reduce our stamp on the environment.$
418,Logistics,$I'm available through Monday to try to complete this activity.  $
419,Logistics,$Is everyone wiling to schedule a time to get online?$
420,Logistics,$I hope we can meet today Judith :D$
421,Greeting,$OK Nury and Amanda, $
422,Logistics,$I sent an email via canvas with these additions I made for part 2.  $
423,Logistics,$Please let em know if you have any suggestion or additions for our response.$
424,Feedback,$Nury I think you did a great job with part 1.$
425,Feedback,$Very detailed and clear.$
426,General Comment,$Nerys I am so sorry I keep spelling your name wrong $
427,Emoticon/Non-verbal,$:($
428,General Comment,$I just noticed. $
429,General Comment,$My deepest appologies.$
430,Response,$No worries! $
431,Response,$It's one of those names. $
432,Response,$I appreciate you noticing and reaching out$
433,Emoticon/Non-verbal,$ :)$
434,General Comment,$So glad we are getting so much done! $
435,General Comment,$What a great group!$
436,Logistics,$I am on as well$
437,Logistics,$Anyone else on?$
438,Response,$oops sorry Judith I kept starring at my inbox instead.$
439,General Comment,$Amanda's section is here already. $
440,Logistics,$So do you want me to just post everything?$
441,Assignment Instructions,$According to the directions, do we just type SUBMITTED" ? $
442,Assignment Instructions Question,$Not sure if I'm understanding correctly"$
443,Response,$That's what I understood too. $
444,Assignment Instructions,$I think we type it at the top as a title.$
445,Assignment Question,$ Are you happy with our response?$
446,Assignment Instructions,$Ok I added the title "SUBMITTED" as specified$
447,Response,$Yeah I think you guys did a great job. $
448,Assignment Question,$How about you?$
449,Response,$OK sounds good to me.$
450,Response,$Im good.  $
451,Response,$Let's run with it$
452,Emoticon/Non-verbal,$:)$
453,Response,$Awesome!$
454,Discussion Wrap-up,$Thank you for a great group experience over the past couple of days! $
455,Emoticon/Non-verbal,$:)$
456,Emoticon/Non-verbal,$:)  $
457,Response,$you too$
458,Greeting,$Hi group members....$
